Freq.	V(vo)
9.12010839355930e+03	(-3.51653507485140e+01dB,-8.94567805539315e+01°)
9.54992586021457e+03	(-3.55652676851556e+01dB,-8.95119768632483e+01°)
1.00000000000002e+04	(-3.59651919799145e+01dB,-8.95661389362102e+01°)
1.04712854805092e+04	(-3.63651229905003e+01dB,-8.96193815406389e+01°)
1.09647819614321e+04	(-3.67650601315710e+01dB,-8.96718175094957e+01°)
1.14815362149691e+04	(-3.71650028697744e+01dB,-8.97235579782725e+01°)
1.20226443461744e+04	(-3.75649507192295e+01dB,-8.97747126190398e+01°)
1.25892541179420e+04	(-3.79649032374090e+01dB,-8.98253898716166e+01°)
1.31825673855644e+04	(-3.83648600213891e+01dB,-8.98756971723242e+01°)
1.38038426460292e+04	(-3.87648207044336e+01dB,-8.99257411807855e+01°)
1.44543977074596e+04	(-3.91647849528858e+01dB,-8.99756280052300e+01°)
1.51356124843624e+04	(-3.95647524633390e+01dB,-9.00254634267649e+01°)
1.58489319246115e+04	(-3.99647229600642e+01dB,-9.00753531230712e+01°)
1.65958690743760e+04	(-4.03646961926718e+01dB,-9.01254028919892e+01°)
1.73780082874942e+04	(-4.07646719339889e+01dB,-9.01757188754538e+01°)
1.81970085861003e+04	(-4.11646499781317e+01dB,-9.02264077842471e+01°)
1.90546071796329e+04	(-4.15646301387603e+01dB,-9.02775771240376e+01°)
1.99526231496893e+04	(-4.19646122474979e+01dB,-9.03293354231792e+01°)
2.08929613085409e+04	(-4.23645961525029e+01dB,-9.03817924627482e+01°)
2.18776162394960e+04	(-4.27645817171814e+01dB,-9.04350595093040e+01°)
2.29086765276783e+04	(-4.31645688190284e+01dB,-9.04892495508656e+01°)
2.39883291901955e+04	(-4.35645573485899e+01dB,-9.05444775366018e+01°)
2.51188643150964e+04	(-4.39645472085344e+01dB,-9.06008606207462e+01°)
2.63026799189544e+04	(-4.43645383128281e+01dB,-9.06585184112556e+01°)
2.75422870333823e+04	(-4.47645305860066e+01dB,-9.07175732237406e+01°)
2.88403150312667e+04	(-4.51645239625356e+01dB,-9.07781503412146e+01°)
3.01995172040209e+04	(-4.55645183862567e+01dB,-9.08403782802143e+01°)
3.16227766016846e+04	(-4.59645138099128e+01dB,-9.09043890638661e+01°)
3.31131121482599e+04	(-4.63645101947503e+01dB,-9.09703185024855e+01°)
3.46736850452540e+04	(-4.67645075101925e+01dB,-9.10383064823149e+01°)
3.63078054770110e+04	(-4.71645057335845e+01dB,-9.11084972630258e+01°)
3.80189396320570e+04	(-4.75645048500052e+01dB,-9.11810397846316e+01°)
3.98107170553507e+04	(-4.79645048521461e+01dB,-9.12560879844781e+01°)
4.16869383470346e+04	(-4.83645057402558e+01dB,-9.13338011250063e+01°)
4.36515832240177e+04	(-4.87645075221501e+01dB,-9.14143441330052e+01°)
4.57088189614886e+04	(-4.91645102132876e+01dB,-9.14978879511023e+01°)
4.78630092322650e+04	(-4.95645138369122e+01dB,-9.15846099022680e+01°)
5.01187233627285e+04	(-4.99645184242642e+01dB,-9.16746940681453e+01°)
5.24807460249786e+04	(-5.03645240148614e+01dB,-9.17683316820475e+01°)
5.49540873857638e+04	(-5.07645306568546e+01dB,-9.18657215375074e+01°)
5.75439937337171e+04	(-5.11645384074599e+01dB,-9.19670704132987e+01°)
6.02559586074373e+04	(-5.15645473334722e+01dB,-9.20725935158966e+01°)
6.30957344480209e+04	(-5.19645575118667e+01dB,-9.21825149403893e+01°)
6.60693448007613e+04	(-5.23645690304932e+01dB,-9.22970681509006e+01°)
6.91830970918954e+04	(-5.27645819888708e+01dB,-9.24164964816434e+01°)
7.24435960075008e+04	(-5.31645964990922e+01dB,-9.25410536597741e+01°)
7.58577575029203e+04	(-5.35646126868457e+01dB,-9.26710043512876e+01°)
7.94328234724302e+04	(-5.39646306925684e+01dB,-9.28066247312563e+01°)
8.31763771102692e+04	(-5.43646506727405e+01dB,-9.29482030797920e+01°)
8.70963589956103e+04	(-5.47646728013372e+01dB,-9.30960404051857e+01°)
9.12010839355933e+04	(-5.51646972714541e+01dB,-9.32504510957725e+01°)
9.54992586021461e+04	(-5.55647242971251e+01dB,-9.34117636021552e+01°)
1.00000000000000e+05	(-5.59647541153530e+01dB,-9.35803211515272e+01°)
